Event Name,Start Date,Category,Description,Source Link
Gulf War Begins,1990-08-02,Conflict,Iraq invades Kuwait; major geopolitical shock impacting oil supply,https://en.wikipedia.org/wiki/Gulf_War
Asian Financial Crisis,1997-07-02,Economic Shock,Currency collapse across Asia affects global demand and oil prices,https://www.investopedia.com/terms/a/asian-financial-crisis.asp
9/11 Attacks,2001-09-11,Political Shock,Terror attacks create market instability and energy demand concerns spike,https://en.wikipedia.org/wiki/September_11_attacks
Iraq War Begins,2003-03-20,Conflict,U.S. invasion leads to long-term shifts in Middle East oil output,https://www.history.com/topics/middle-east/iraq-war
Global Financial Crisis,2008-09-15,Economic Shock,Lehman collapse triggers global recession and a dramatic oil demand drop,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/The-Global-Financial-Crisis-and-ITS-Impact-23114
Arab Spring,2011-01-25,Conflict/Political,Uprisings across MENA region cause disruptions in oil-producing countries,https://www.britannica.com/event/Arab-Spring
OPEC Output Cut,2014-11-27,OPEC Policy,OPEC decides not to reduce oil production despite falling prices,https://thedocs.worldbank.org/en/doc/910311512412250749-0050022017/original/GlobalEconomicProspectsJan2018TopicalIssueoilpricecollapse.pdf
Iran Sanctions Reinstated,2018-11-05,Sanctions,U.S. reimposes sanctions on Iran removing supply from global markets,https://ofac.treasury.gov/sanctions-programs-and-country-information/iran-sanctions/re-imposition-of-the-sanctions-on-iran-that-had-been-lifted-or-waived-under-the-jcpoa
COVID-19 Pandemic Declared,2020-03-11,Health/Economic,Global lockdowns cripple oil demand and lead to massive price drops,https://www.tandfonline.com/doi/pdf/10.1080/02255189.2020.1821614
Oil Futures Go Negative,2020-04-20,Market Event,WTI crude futures drop below $0; Brent experiences volatility in parallel,https://www.investopedia.com/articles/investing/100615/will-oil-prices-go-2017.asp
Russia Invades Ukraine,2022-02-24,Conflict/Sanctions,War triggers market instability and energy sanctions,https://www.weforum.org/stories/2022/03/how-does-the-war-in-ukraine-affect-oil-prices/
Suez Canal Blockage (Ever Given),2021-03-23,Supply Chain,Blockage disrupts oil shipment routes affecting short-term prices,https://www.aljazeera.com/economy/2021/3/24/bb-suez-canal-blockage-sends-oil-prices-rebounding-after-sell-off
U.S.-China Trade War,2018-07-06,Economic Shock,Tariff escalation undermines investor confidence and global trade,https://www.forbes.com/sites/greatspeculations/2018/07/18/how-could-the-us-china-trade-war-impact-crude-oil-prices/
OPEC+ Output Expansion,2021-07-18,OPEC Policy,OPEC+ agrees to raise production post-COVID,https://www.dw.com/en/opec-agree-to-keep-boosting-oil-output-bet-on-pandemic-recovery/a-58306582